sku,product_name,product_category,subcategory,brand,supplier_id,unit_cost,_ingested_at
FRS-MLK-001,Fresh Milk 1L,Dairy,Dairy,ALDI,SUP001,0.89,2026-04-16 03:15:00
FRS-YGT-002,Greek Yoghurt 500g,Dairy,Dairy,Danone,SUP002,0.75,2026-04-16 03:15:00
FRS-CHD-003,Cheddar 200g,Dairy,Dairy,Boni,SUP003,1.2,2026-04-16 03:15:00
FRS-BTR-004,Butter 250g,Dairy,Dairy,Lurpak,SUP004,1.8,2026-04-16 03:15:00
BAK-BRD-001,White Bread 800g,Bakery,Bakery,Delhaize,SUP005,0.6,2026-04-16 03:15:00
BAK-CRS-002,Croissant x6,Bakery,Bakery,Vandemoortele,SUP006,1.1,2026-04-16 03:15:00
BAK-SRD-003,Sourdough Loaf,Bakery,Bakery,Bakker Bart,SUP007,1.8,2026-04-16 03:15:00
BAK-BGL-004,Bagels x4,Bakery,Bakery,Private Label,SUP008,0.9,2026-04-16 03:15:00
PRD-BAN-001,Bananas 1kg,Produce,Produce,Chiquita,SUP009,0.55,2026-04-16 03:15:00
PRD-TOM-002,Tomatoes 500g,Produce,Produce,Private Label,SUP010,0.7,2026-04-16 03:15:00
PRD-BRC-003,Broccoli,Produce,Produce,Private Label,SUP011,0.65,2026-04-16 03:15:00
PRD-APL-004,Apples Gala 1kg,Produce,Produce,Pink Lady,SUP012,0.9,2026-04-16 03:15:00
BEV-COL-001,Cola 1.5L,Beverages,Beverages,Coca-Cola,SUP013,0.55,2026-04-16 03:15:00
BEV-OJU-002,Orange Juice 1L,Beverages,Beverages,Tropicana,SUP014,1.1,2026-04-16 03:15:00
BEV-WAT-003,Sparkling Water 6x,Beverages,Beverages,SPA,SUP015,1.2,2026-04-16 03:15:00
BEV-BER-004,Beer 6x330ml,Beverages,Beverages,Jupiler,SUP016,2.5,2026-04-16 03:15:00
FRZ-PIZ-001,Frozen Pizza,Frozen,Frozen,Dr. Oetker,SUP017,2.2,2026-04-16 03:15:00
FRZ-ICE-002,Ice Cream 500ml,Frozen,Frozen,Ben & Jerrys,SUP018,3.5,2026-04-16 03:15:00
FRZ-FRI-003,Frozen Fries 1kg,Frozen,Frozen,Lamb Weston,SUP019,1.1,2026-04-16 03:15:00
FRZ-PEA-004,Frozen Peas 450g,Frozen,Frozen,Private Label,SUP020,0.7,2026-04-16 03:15:00
SNK-CHP-001,Potato Chips 200g,Snacks,Snacks,Lay's,SUP021,0.8,2026-04-16 03:15:00
SNK-CHC-002,Chocolate Bar,Snacks,Snacks,Milka,SUP022,0.55,2026-04-16 03:15:00
SNK-BSC-003,Biscuits 300g,Snacks,Snacks,Lotus,SUP023,1.2,2026-04-16 03:15:00
SNK-NUT-004,Nuts Mix 200g,Snacks,Snacks,Private Label,SUP024,1.5,2026-04-16 03:15:00
