transaction_id,sale_date,store_id,product_sku,quantity_sold,unit_price,payment_method,customer_id,_ingested_at
100001,2026-03-17,FC001,BEV-WAT-003,4,2.79,CASH,CUS00171,2026-04-16 03:15:00
100001,2026-03-17,FC001,SNK-CHC-002,1,1.29,CASH,CUS00171,2026-04-16 03:15:00
100002,2026-03-17,FC001,PRD-TOM-002,2,1.39,ONLINE,,2026-04-16 03:15:00
100003,2026-03-17,FC001,BEV-COL-001,3,1.49,CARD,CUS00078,2026-04-16 03:15:00
100003,2026-03-17,FC001,FRS-BTR-004,1,3.49,CARD,CUS00078,2026-04-16 03:15:00
100004,2026-03-17,FC001,FRS-MLK-001,5,1.29,CARD,,2026-04-16 03:15:00
100004,2026-03-17,FC001,SNK-CHC-002,1,1.29,CARD,,2026-04-16 03:15:00
100005,2026-03-17,FC001,FRZ-PEA-004,2,1.59,CASH,,2026-04-16 03:15:00
100006,2026-03-17,FC001,FRZ-PEA-004,3,1.59,CARD,,2026-04-16 03:15:00
100006,2026-03-17,FC001,BAK-BGL-004,2,1.99,CARD,,2026-04-16 03:15:00
100006,2026-03-17,FC001,FRZ-PEA-004,1,1.59,CARD,,2026-04-16 03:15:00
100007,2026-03-17,FC001,SNK-CHP-001,1,1.99,CARD,,2026-04-16 03:15:00
100007,2026-03-17,FC001,SNK-CHP-001,2,1.99,CARD,,2026-04-16 03:15:00
100007,2026-03-17,FC001,PRD-TOM-002,2,1.39,CARD,,2026-04-16 03:15:00
100008,2026-03-17,FC001,PRD-TOM-002,1,1.39,CASH,CUS00034,2026-04-16 03:15:00
100009,2026-03-17,FC001,FRZ-PIZ-001,1,4.99,CARD,CUS00139,2026-04-16 03:15:00
100009,2026-03-17,FC001,PRD-BAN-001,3,0.99,CARD,CUS00139,2026-04-16 03:15:00
100010,2026-03-17,FC001,PRD-TOM-002,2,1.39,CARD,,2026-04-16 03:15:00
100011,2026-03-17,FC001,BAK-BGL-004,3,1.99,CARD,CUS00020,2026-04-16 03:15:00
100012,2026-03-17,FC001,PRD-APL-004,1,1.79,ONLINE,,2026-04-16 03:15:00
